F_Left,F_Right,B_Left,B_Right,BR_Left,BR_Right,Label
5,6,5,0,2,4,p0_앉지않음
681,663,668,665,547,449,p1_정자세
879,873,392,416,20,19,p2_앞으로숙이기
292,932,296,852,452,443,p3_오른다리꼬기
947,345,805,280,457,499,p4_왼다리꼬기
530,707,574,713,238,643,p5_오른쪽기대기
776,541,760,502,684,190,p6_왼쪽기대기
3,5,7,4,3,3,p0_앉지않음
654,658,642,665,479,554,p1_정자세
866,851,328,334,16,4,p2_앞으로숙이기
400,893,462,942,442,445,p3_오른다리꼬기
939,435,784,210,425,473,p4_왼다리꼬기
524,803,390,584,225,616,p5_오른쪽기대기
649,507,739,443,631,195,p6_왼쪽기대기
3,0,2,6,2,2,p0_앉지않음
650,690,541,658,557,441,p1_정자세
826,863,462,377,11,5,p2_앞으로숙이기
355,981,313,849,462,449,p3_오른다리꼬기
867,391,859,300,410,502,p4_왼다리꼬기
533,722,500,675,176,619,p5_오른쪽기대기
661,523,608,388,566,197,p6_왼쪽기대기
4,4,1,1,2,1,p0_앉지않음
715,655,659,715,523,483,p1_정자세
860,840,400,383,14,16,p2_앞으로숙이기
300,859,230,785,401,456,p3_오른다리꼬기
864,375,851,201,476,482,p4_왼다리꼬기
450,771,407,704,162,578,p5_오른쪽기대기
730,493,680,390,634,208,p6_왼쪽기대기
4,5,2,8,0,2,p0_앉지않음
759,724,639,623,541,443,p1_정자세
811,834,461,418,10,13,p2_앞으로숙이기
319,871,348,795,514,483,p3_오른다리꼬기
943,326,844,228,429,469,p4_왼다리꼬기
564,694,431,692,158,673,p5_오른쪽기대기
713,490,677,410,649,193,p6_왼쪽기대기
3,2,5,9,2,2,p0_앉지않음
630,707,595,576,470,547,p1_정자세
888,859,323,390,16,15,p2_앞으로숙이기
257,864,296,871,362,443,p3_오른다리꼬기
905,392,877,329,418,373,p4_왼다리꼬기
480,800,519,735,212,665,p5_오른쪽기대기
722,493,783,402,714,190,p6_왼쪽기대기
8,0,6,2,0,2,p0_앉지않음
750,657,575,645,496,521,p1_정자세
887,847,492,411,13,6,p2_앞으로숙이기
336,886,348,868,402,456,p3_오른다리꼬기
926,426,885,338,452,465,p4_왼다리꼬기
562,683,432,661,211,699,p5_오른쪽기대기
720,380,679,495,671,212,p6_왼쪽기대기
4,1,6,2,4,2,p0_앉지않음
670,669,645,638,544,507,p1_정자세
820,925,402,438,11,16,p2_앞으로숙이기
365,824,400,901,434,405,p3_오른다리꼬기
913,354,864,309,470,507,p4_왼다리꼬기
528,697,518,782,294,605,p5_오른쪽기대기
762,395,727,422,726,176,p6_왼쪽기대기
0,3,0,7,0,2,p0_앉지않음
596,683,732,668,465,498,p1_정자세
850,868,331,429,1,11,p2_앞으로숙이기
325,925,301,793,410,457,p3_오른다리꼬기
896,321,830,334,429,446,p4_왼다리꼬기
608,678,357,739,179,637,p5_오른쪽기대기
710,487,779,490,684,157,p6_왼쪽기대기
1,0,2,7,2,1,p0_앉지않음
698,665,660,688,435,511,p1_정자세
887,833,435,540,14,16,p2_앞으로숙이기
313,907,323,857,409,458,p3_오른다리꼬기
958,372,888,288,479,461,p4_왼다리꼬기
452,765,400,668,205,661,p5_오른쪽기대기
690,552,728,414,588,195,p6_왼쪽기대기
3,5,3,0,1,1,p0_앉지않음
731,665,733,554,552,491,p1_정자세
884,853,456,380,9,22,p2_앞으로숙이기
344,908,361,808,473,426,p3_오른다리꼬기
894,353,789,261,504,485,p4_왼다리꼬기
496,762,435,767,193,659,p5_오른쪽기대기
807,461,777,373,715,188,p6_왼쪽기대기
4,0,3,1,1,1,p0_앉지않음
747,710,665,595,464,571,p1_정자세
820,916,387,400,20,21,p2_앞으로숙이기
344,884,297,863,485,450,p3_오른다리꼬기
924,431,865,315,389,344,p4_왼다리꼬기
519,745,424,712,198,695,p5_오른쪽기대기
754,462,749,439,671,185,p6_왼쪽기대기
3,5,5,6,1,0,p0_앉지않음
678,739,635,637,539,471,p1_정자세
788,843,375,351,14,17,p2_앞으로숙이기
349,912,390,836,461,429,p3_오른다리꼬기
866,320,830,317,543,421,p4_왼다리꼬기
479,746,469,713,238,552,p5_오른쪽기대기
630,475,754,371,529,217,p6_왼쪽기대기
5,1,2,2,2,1,p0_앉지않음
724,557,607,593,489,478,p1_정자세
881,775,402,427,24,12,p2_앞으로숙이기
366,827,180,883,449,497,p3_오른다리꼬기
845,375,924,320,461,450,p4_왼다리꼬기
421,817,419,725,153,602,p5_오른쪽기대기
821,482,772,446,576,226,p6_왼쪽기대기
3,7,5,0,2,4,p0_앉지않음
724,697,703,660,508,456,p1_정자세
859,891,358,471,14,10,p2_앞으로숙이기
399,888,337,838,447,469,p3_오른다리꼬기
911,250,805,346,444,429,p4_왼다리꼬기
432,696,348,694,182,611,p5_오른쪽기대기
746,518,804,374,696,229,p6_왼쪽기대기
2,5,3,5,3,2,p0_앉지않음
725,678,575,639,548,438,p1_정자세
807,855,350,360,12,8,p2_앞으로숙이기
301,928,234,786,424,479,p3_오른다리꼬기
892,326,851,212,469,465,p4_왼다리꼬기
479,800,393,756,204,636,p5_오른쪽기대기
749,494,761,396,619,231,p6_왼쪽기대기
3,7,10,3,2,0,p0_앉지않음
737,709,673,617,433,520,p1_정자세
767,837,447,409,24,20,p2_앞으로숙이기
317,901,297,786,412,427,p3_오른다리꼬기
818,352,840,216,466,478,p4_왼다리꼬기
511,733,479,734,209,617,p5_오른쪽기대기
763,559,670,554,628,200,p6_왼쪽기대기
2,5,0,3,0,2,p0_앉지않음
749,732,531,752,511,468,p1_정자세
856,857,366,409,11,12,p2_앞으로숙이기
315,842,307,873,470,482,p3_오른다리꼬기
912,323,883,232,413,411,p4_왼다리꼬기
554,797,474,753,173,663,p5_오른쪽기대기
743,542,694,430,671,226,p6_왼쪽기대기
2,4,1,0,2,2,p0_앉지않음
713,602,632,539,554,456,p1_정자세
900,887,354,343,16,10,p2_앞으로숙이기
355,880,210,760,459,427,p3_오른다리꼬기
877,384,896,286,436,470,p4_왼다리꼬기
432,761,477,734,141,619,p5_오른쪽기대기
706,504,724,524,630,185,p6_왼쪽기대기
8,5,8,5,0,0,p0_앉지않음
622,733,709,742,533,546,p1_정자세
826,803,442,420,15,16,p2_앞으로숙이기
366,951,364,871,483,470,p3_오른다리꼬기
881,387,794,352,402,461,p4_왼다리꼬기
457,777,448,620,212,626,p5_오른쪽기대기
794,500,719,402,626,186,p6_왼쪽기대기
7,10,2,8,0,0,p0_앉지않음
652,632,570,670,491,515,p1_정자세
877,860,432,396,9,20,p2_앞으로숙이기
320,862,291,813,433,463,p3_오른다리꼬기
913,305,830,353,469,533,p4_왼다리꼬기
559,807,380,738,198,627,p5_오른쪽기대기
758,547,725,406,679,180,p6_왼쪽기대기
5,4,4,7,0,3,p0_앉지않음
608,670,668,679,495,497,p1_정자세
866,840,469,441,19,10,p2_앞으로숙이기
346,887,249,864,428,476,p3_오른다리꼬기
857,435,814,310,481,427,p4_왼다리꼬기
542,688,522,700,182,638,p5_오른쪽기대기
790,470,662,438,602,254,p6_왼쪽기대기
3,7,5,2,1,2,p0_앉지않음
690,759,701,695,481,456,p1_정자세
825,857,427,291,14,15,p2_앞으로숙이기
336,951,321,902,441,487,p3_오른다리꼬기
965,415,806,287,436,469,p4_왼다리꼬기
534,708,453,599,243,629,p5_오른쪽기대기
752,484,757,308,649,196,p6_왼쪽기대기
3,10,2,7,2,3,p0_앉지않음
666,663,704,671,438,478,p1_정자세
865,883,366,254,17,8,p2_앞으로숙이기
249,786,340,855,440,505,p3_오른다리꼬기
925,430,794,298,385,440,p4_왼다리꼬기
487,781,452,731,221,736,p5_오른쪽기대기
734,452,712,409,709,191,p6_왼쪽기대기
3,3,7,4,1,3,p0_앉지않음
657,701,682,568,519,457,p1_정자세
882,811,434,455,19,16,p2_앞으로숙이기
338,876,373,822,408,476,p3_오른다리꼬기
868,302,792,275,446,459,p4_왼다리꼬기
547,776,440,690,215,700,p5_오른쪽기대기
756,476,650,377,676,217,p6_왼쪽기대기
6,4,9,3,2,1,p0_앉지않음
669,729,670,667,503,498,p1_정자세
945,897,436,405,20,17,p2_앞으로숙이기
351,887,295,723,458,430,p3_오른다리꼬기
963,350,802,297,408,468,p4_왼다리꼬기
514,797,410,701,159,678,p5_오른쪽기대기
775,524,700,470,714,191,p6_왼쪽기대기
5,1,2,5,3,1,p0_앉지않음
688,679,623,664,440,551,p1_정자세
823,878,336,433,18,16,p2_앞으로숙이기
300,909,240,839,491,481,p3_오른다리꼬기
900,301,875,300,357,481,p4_왼다리꼬기
498,810,395,541,208,661,p5_오른쪽기대기
665,451,837,434,679,180,p6_왼쪽기대기
0,4,4,3,1,2,p0_앉지않음
692,636,674,552,417,529,p1_정자세
870,847,330,364,13,7,p2_앞으로숙이기
313,926,371,833,480,373,p3_오른다리꼬기
926,309,862,287,502,415,p4_왼다리꼬기
531,736,442,690,174,649,p5_오른쪽기대기
746,512,704,489,686,168,p6_왼쪽기대기
7,1,6,6,0,2,p0_앉지않음
676,662,717,617,467,503,p1_정자세
877,844,458,426,4,12,p2_앞으로숙이기
321,919,168,951,471,455,p3_오른다리꼬기
947,467,884,347,455,444,p4_왼다리꼬기
476,708,415,632,197,582,p5_오른쪽기대기
759,498,707,423,773,240,p6_왼쪽기대기
1,5,3,1,0,2,p0_앉지않음
665,748,699,718,465,519,p1_정자세
875,831,361,480,16,18,p2_앞으로숙이기
308,851,271,845,407,449,p3_오른다리꼬기
832,293,876,330,434,409,p4_왼다리꼬기
448,731,482,746,185,603,p5_오른쪽기대기
763,458,674,516,683,204,p6_왼쪽기대기
1,5,8,3,3,3,p0_앉지않음
783,715,679,720,517,479,p1_정자세
832,859,335,392,20,4,p2_앞으로숙이기
426,944,277,871,450,499,p3_오른다리꼬기
939,279,873,289,453,420,p4_왼다리꼬기
587,802,413,633,188,667,p5_오른쪽기대기
762,562,739,498,663,158,p6_왼쪽기대기
4,8,4,6,1,0,p0_앉지않음
693,715,617,638,462,544,p1_정자세
838,908,476,395,9,4,p2_앞으로숙이기
276,845,368,854,465,361,p3_오른다리꼬기
852,394,861,292,472,515,p4_왼다리꼬기
488,753,459,819,137,677,p5_오른쪽기대기
744,528,667,447,678,293,p6_왼쪽기대기
7,2,3,3,0,1,p0_앉지않음
736,636,702,674,470,494,p1_정자세
913,879,400,388,15,12,p2_앞으로숙이기
244,981,307,865,447,420,p3_오른다리꼬기
892,270,941,238,408,432,p4_왼다리꼬기
564,750,388,762,221,671,p5_오른쪽기대기
785,619,809,415,714,211,p6_왼쪽기대기
6,0,4,2,2,3,p0_앉지않음
596,698,706,640,529,514,p1_정자세
863,839,339,343,18,15,p2_앞으로숙이기
343,883,284,891,436,396,p3_오른다리꼬기
929,339,851,380,449,461,p4_왼다리꼬기
441,739,480,622,206,654,p5_오른쪽기대기
752,551,716,523,610,204,p6_왼쪽기대기
5,1,7,11,1,2,p0_앉지않음
704,664,558,614,444,568,p1_정자세
845,836,444,343,11,15,p2_앞으로숙이기
401,920,312,853,466,458,p3_오른다리꼬기
858,352,807,304,430,551,p4_왼다리꼬기
498,679,443,725,250,626,p5_오른쪽기대기
670,540,630,428,639,197,p6_왼쪽기대기
7,2,4,4,2,2,p0_앉지않음
721,742,669,672,436,502,p1_정자세
869,879,365,367,12,17,p2_앞으로숙이기
401,883,345,854,445,441,p3_오른다리꼬기
929,366,941,257,470,428,p4_왼다리꼬기
456,749,456,845,194,604,p5_오른쪽기대기
763,396,695,450,681,229,p6_왼쪽기대기
3,4,2,1,2,0,p0_앉지않음
679,650,677,740,447,425,p1_정자세
845,850,410,377,13,16,p2_앞으로숙이기
402,821,281,858,413,519,p3_오른다리꼬기
874,347,872,270,376,432,p4_왼다리꼬기
551,733,407,746,190,629,p5_오른쪽기대기
757,538,819,491,696,184,p6_왼쪽기대기
1,5,5,1,1,2,p0_앉지않음
718,725,664,624,479,452,p1_정자세
921,850,388,353,29,9,p2_앞으로숙이기
328,916,330,888,522,470,p3_오른다리꼬기
857,337,862,403,394,498,p4_왼다리꼬기
508,791,444,657,222,676,p5_오른쪽기대기
798,499,670,372,682,212,p6_왼쪽기대기
2,3,3,0,1,0,p0_앉지않음
679,663,568,751,550,468,p1_정자세
860,866,459,359,20,12,p2_앞으로숙이기
283,928,364,953,402,477,p3_오른다리꼬기
883,389,791,236,418,453,p4_왼다리꼬기
467,782,501,729,248,666,p5_오른쪽기대기
689,568,669,495,712,213,p6_왼쪽기대기
0,2,8,4,2,2,p0_앉지않음
734,713,639,634,534,522,p1_정자세
839,893,393,357,11,10,p2_앞으로숙이기
336,949,259,857,423,439,p3_오른다리꼬기
839,338,842,327,458,402,p4_왼다리꼬기
554,760,459,699,184,658,p5_오른쪽기대기
773,412,673,437,660,235,p6_왼쪽기대기
2,3,3,2,1,2,p0_앉지않음
647,721,564,621,486,566,p1_정자세
839,761,300,401,18,16,p2_앞으로숙이기
358,946,273,885,384,413,p3_오른다리꼬기
827,336,848,305,452,412,p4_왼다리꼬기
490,675,518,684,185,713,p5_오른쪽기대기
687,443,645,446,667,222,p6_왼쪽기대기
12,0,6,3,1,1,p0_앉지않음
654,784,692,651,554,439,p1_정자세
796,762,365,408,15,15,p2_앞으로숙이기
279,932,311,879,374,462,p3_오른다리꼬기
852,330,871,304,415,450,p4_왼다리꼬기
423,807,439,755,184,629,p5_오른쪽기대기
711,543,664,482,634,140,p6_왼쪽기대기
3,1,5,1,2,1,p0_앉지않음
691,732,698,648,469,429,p1_정자세
822,825,405,382,18,11,p2_앞으로숙이기
347,947,317,847,425,424,p3_오른다리꼬기
865,322,880,288,396,520,p4_왼다리꼬기
515,679,427,705,251,605,p5_오른쪽기대기
798,569,668,436,608,193,p6_왼쪽기대기
4,6,8,2,0,1,p0_앉지않음
714,712,633,656,560,515,p1_정자세
835,829,391,481,14,14,p2_앞으로숙이기
325,943,397,868,453,451,p3_오른다리꼬기
804,387,855,321,421,434,p4_왼다리꼬기
479,801,431,804,212,598,p5_오른쪽기대기
743,467,590,529,678,215,p6_왼쪽기대기
5,0,3,7,0,0,p0_앉지않음
688,692,656,686,525,510,p1_정자세
897,789,425,431,8,7,p2_앞으로숙이기
312,873,337,825,415,425,p3_오른다리꼬기
944,350,842,294,501,420,p4_왼다리꼬기
565,760,441,825,168,635,p5_오른쪽기대기
688,547,784,533,698,194,p6_왼쪽기대기
3,0,11,6,1,3,p0_앉지않음
651,720,641,681,497,441,p1_정자세
853,891,398,438,9,14,p2_앞으로숙이기
318,929,301,877,493,477,p3_오른다리꼬기
910,300,849,273,436,435,p4_왼다리꼬기
451,652,416,709,159,650,p5_오른쪽기대기
845,551,782,469,696,178,p6_왼쪽기대기
3,0,8,9,1,1,p0_앉지않음
662,719,706,562,516,488,p1_정자세
854,868,390,394,13,19,p2_앞으로숙이기
370,908,236,834,485,451,p3_오른다리꼬기
926,438,891,304,429,347,p4_왼다리꼬기
491,733,469,692,190,578,p5_오른쪽기대기
703,523,785,445,663,228,p6_왼쪽기대기
2,6,2,7,2,2,p0_앉지않음
660,735,754,599,486,509,p1_정자세
881,827,258,467,18,6,p2_앞으로숙이기
319,962,372,887,442,453,p3_오른다리꼬기
894,406,814,259,490,448,p4_왼다리꼬기
568,716,447,653,200,590,p5_오른쪽기대기
725,428,734,485,580,240,p6_왼쪽기대기
12,5,3,13,0,2,p0_앉지않음
708,767,667,625,461,486,p1_정자세
809,851,371,325,21,12,p2_앞으로숙이기
286,893,303,780,463,408,p3_오른다리꼬기
968,376,834,262,445,474,p4_왼다리꼬기
498,739,452,669,189,566,p5_오른쪽기대기
798,514,661,544,653,168,p6_왼쪽기대기
7,6,6,3,2,1,p0_앉지않음
727,604,628,736,469,475,p1_정자세
832,801,289,388,15,14,p2_앞으로숙이기
342,901,351,842,427,438,p3_오른다리꼬기
923,420,824,304,463,410,p4_왼다리꼬기
501,676,361,718,188,658,p5_오른쪽기대기
749,451,697,388,705,159,p6_왼쪽기대기
4,1,6,4,1,2,p0_앉지않음
701,725,600,579,504,487,p1_정자세
875,846,410,318,24,14,p2_앞으로숙이기
384,866,315,797,468,435,p3_오른다리꼬기
901,384,800,265,468,533,p4_왼다리꼬기
493,779,444,797,147,653,p5_오른쪽기대기
668,374,714,456,638,196,p6_왼쪽기대기
14,4,6,3,2,1,p0_앉지않음
679,790,708,656,407,485,p1_정자세
958,840,455,472,16,10,p2_앞으로숙이기
228,927,259,857,400,439,p3_오른다리꼬기
901,363,805,359,426,383,p4_왼다리꼬기
494,751,458,768,192,645,p5_오른쪽기대기
694,541,709,428,573,243,p6_왼쪽기대기
1,3,6,1,0,0,p0_앉지않음
736,672,796,600,463,477,p1_정자세
859,831,430,351,8,6,p2_앞으로숙이기
238,879,284,824,499,499,p3_오른다리꼬기
886,260,827,270,423,422,p4_왼다리꼬기
467,730,418,710,210,613,p5_오른쪽기대기
813,450,619,469,617,209,p6_왼쪽기대기
0,9,7,0,0,3,p0_앉지않음
663,658,536,632,490,528,p1_정자세
794,789,422,450,7,20,p2_앞으로숙이기
351,943,296,749,443,492,p3_오른다리꼬기
864,330,842,155,516,413,p4_왼다리꼬기
525,745,512,720,192,614,p5_오른쪽기대기
789,406,732,395,700,204,p6_왼쪽기대기
6,5,0,2,2,2,p0_앉지않음
759,720,601,610,504,407,p1_정자세
916,867,461,320,21,26,p2_앞으로숙이기
283,930,300,788,469,483,p3_오른다리꼬기
875,408,783,225,455,451,p4_왼다리꼬기
464,790,476,742,196,674,p5_오른쪽기대기
727,602,659,555,651,158,p6_왼쪽기대기
9,5,7,8,2,1,p0_앉지않음
748,700,684,542,517,474,p1_정자세
916,874,411,424,10,23,p2_앞으로숙이기
449,915,379,827,418,451,p3_오른다리꼬기
917,330,871,315,410,470,p4_왼다리꼬기
543,758,507,639,214,603,p5_오른쪽기대기
694,468,652,422,641,225,p6_왼쪽기대기
4,0,8,2,1,2,p0_앉지않음
709,754,673,606,587,507,p1_정자세
844,888,412,419,27,13,p2_앞으로숙이기
334,904,353,789,371,426,p3_오른다리꼬기
834,328,870,255,392,452,p4_왼다리꼬기
543,665,491,740,228,698,p5_오른쪽기대기
860,482,705,429,650,245,p6_왼쪽기대기
0,2,9,8,1,2,p0_앉지않음
717,775,653,701,605,523,p1_정자세
851,878,381,519,15,13,p2_앞으로숙이기
308,943,343,830,473,389,p3_오른다리꼬기
907,372,918,261,398,414,p4_왼다리꼬기
433,816,527,716,236,655,p5_오른쪽기대기
745,483,684,372,660,198,p6_왼쪽기대기
7,5,4,2,2,2,p0_앉지않음
642,704,661,614,476,509,p1_정자세
804,863,355,453,26,10,p2_앞으로숙이기
376,870,352,799,469,415,p3_오른다리꼬기
891,298,882,258,472,436,p4_왼다리꼬기
494,757,411,710,245,618,p5_오른쪽기대기
808,574,659,377,662,183,p6_왼쪽기대기
10,5,2,1,3,1,p0_앉지않음
702,747,625,647,499,527,p1_정자세
873,841,403,381,7,16,p2_앞으로숙이기
444,864,261,815,478,467,p3_오른다리꼬기
893,304,853,221,455,484,p4_왼다리꼬기
437,673,528,669,234,643,p5_오른쪽기대기
741,521,655,456,634,160,p6_왼쪽기대기
6,4,4,1,3,2,p0_앉지않음
748,684,563,747,497,470,p1_정자세
866,896,398,463,20,9,p2_앞으로숙이기
316,938,164,844,392,430,p3_오른다리꼬기
888,332,827,245,541,524,p4_왼다리꼬기
441,829,430,706,198,623,p5_오른쪽기대기
799,506,676,384,614,150,p6_왼쪽기대기
5,1,4,9,3,1,p0_앉지않음
695,793,676,633,442,515,p1_정자세
883,824,414,381,14,2,p2_앞으로숙이기
338,938,268,852,419,464,p3_오른다리꼬기
891,303,903,346,425,469,p4_왼다리꼬기
526,782,365,750,182,635,p5_오른쪽기대기
881,515,680,339,705,159,p6_왼쪽기대기
1,4,9,7,1,2,p0_앉지않음
669,706,653,698,538,519,p1_정자세
835,879,395,345,12,15,p2_앞으로숙이기
395,892,239,852,454,457,p3_오른다리꼬기
936,400,826,269,408,477,p4_왼다리꼬기
572,734,437,773,215,667,p5_오른쪽기대기
690,533,653,393,636,182,p6_왼쪽기대기
4,0,7,8,0,2,p0_앉지않음
659,742,646,651,492,548,p1_정자세
800,874,455,435,26,12,p2_앞으로숙이기
397,895,361,849,434,502,p3_오른다리꼬기
880,279,829,330,505,454,p4_왼다리꼬기
565,682,427,685,196,653,p5_오른쪽기대기
784,477,706,447,612,196,p6_왼쪽기대기
4,4,5,5,1,3,p0_앉지않음
641,663,788,598,445,529,p1_정자세
766,840,507,322,5,7,p2_앞으로숙이기
394,944,274,877,505,521,p3_오른다리꼬기
890,234,817,278,439,442,p4_왼다리꼬기
555,813,441,754,210,652,p5_오른쪽기대기
795,503,802,378,629,196,p6_왼쪽기대기
6,8,4,0,2,2,p0_앉지않음
602,699,570,616,463,532,p1_정자세
854,798,444,328,16,10,p2_앞으로숙이기
331,920,326,903,446,462,p3_오른다리꼬기
882,359,867,295,377,463,p4_왼다리꼬기
518,715,385,773,214,640,p5_오른쪽기대기
693,458,765,456,627,215,p6_왼쪽기대기
2,9,9,3,1,0,p0_앉지않음
625,633,656,633,446,488,p1_정자세
870,871,305,393,8,19,p2_앞으로숙이기
389,864,261,831,359,463,p3_오른다리꼬기
889,398,806,269,389,409,p4_왼다리꼬기
440,799,415,706,188,599,p5_오른쪽기대기
741,529,639,490,616,185,p6_왼쪽기대기
6,3,5,4,2,0,p0_앉지않음
608,730,701,604,490,511,p1_정자세
877,768,355,383,18,27,p2_앞으로숙이기
338,843,320,902,454,413,p3_오른다리꼬기
938,383,808,319,489,497,p4_왼다리꼬기
496,732,511,639,213,595,p5_오른쪽기대기
803,487,763,474,601,242,p6_왼쪽기대기
9,7,2,4,2,1,p0_앉지않음
784,707,514,666,486,497,p1_정자세
835,882,455,414,13,14,p2_앞으로숙이기
350,867,328,868,511,500,p3_오른다리꼬기
872,391,811,334,429,409,p4_왼다리꼬기
514,616,362,691,202,635,p5_오른쪽기대기
671,459,719,479,649,234,p6_왼쪽기대기
6,2,4,0,1,3,p0_앉지않음
734,770,634,717,492,558,p1_정자세
849,878,473,390,16,21,p2_앞으로숙이기
343,847,407,831,456,496,p3_오른다리꼬기
875,299,860,210,438,459,p4_왼다리꼬기
486,672,529,705,242,639,p5_오른쪽기대기
705,513,689,391,708,181,p6_왼쪽기대기
0,8,3,3,0,3,p0_앉지않음
635,702,695,671,497,431,p1_정자세
817,857,360,410,18,19,p2_앞으로숙이기
288,987,338,849,493,544,p3_오른다리꼬기
842,338,754,309,464,448,p4_왼다리꼬기
467,647,468,772,182,667,p5_오른쪽기대기
671,522,680,411,619,188,p6_왼쪽기대기
6,1,3,4,0,3,p0_앉지않음
657,666,601,739,522,462,p1_정자세
894,858,412,382,11,16,p2_앞으로숙이기
322,972,236,911,445,461,p3_오른다리꼬기
933,318,884,164,421,413,p4_왼다리꼬기
437,739,469,735,207,623,p5_오른쪽기대기
768,506,746,488,651,173,p6_왼쪽기대기
3,3,4,5,2,1,p0_앉지않음
700,707,624,603,429,472,p1_정자세
868,821,388,423,17,9,p2_앞으로숙이기
399,945,243,817,497,444,p3_오른다리꼬기
811,280,840,241,433,451,p4_왼다리꼬기
573,735,503,771,243,661,p5_오른쪽기대기
651,523,752,445,719,225,p6_왼쪽기대기
6,8,6,0,1,3,p0_앉지않음
659,688,597,739,567,464,p1_정자세
855,822,430,425,19,16,p2_앞으로숙이기
496,858,214,834,387,390,p3_오른다리꼬기
859,303,811,325,429,442,p4_왼다리꼬기
544,711,436,718,141,554,p5_오른쪽기대기
767,524,803,457,682,194,p6_왼쪽기대기
5,10,0,6,4,2,p0_앉지않음
782,668,648,651,411,453,p1_정자세
806,882,443,416,19,14,p2_앞으로숙이기
410,900,302,839,477,433,p3_오른다리꼬기
939,293,806,334,446,431,p4_왼다리꼬기
544,719,439,769,246,712,p5_오른쪽기대기
735,561,652,404,555,250,p6_왼쪽기대기
2,4,2,7,1,0,p0_앉지않음
722,628,608,544,443,507,p1_정자세
771,790,399,372,24,24,p2_앞으로숙이기
306,922,337,826,390,449,p3_오른다리꼬기
893,328,867,262,403,454,p4_왼다리꼬기
519,691,496,611,182,639,p5_오른쪽기대기
718,471,793,407,747,213,p6_왼쪽기대기
5,6,12,2,0,1,p0_앉지않음
701,613,651,734,506,488,p1_정자세
825,885,358,492,24,16,p2_앞으로숙이기
349,941,354,817,428,397,p3_오른다리꼬기
916,383,796,277,396,414,p4_왼다리꼬기
527,713,434,618,205,648,p5_오른쪽기대기
713,490,709,409,590,254,p6_왼쪽기대기
3,4,8,15,0,2,p0_앉지않음
664,673,613,593,498,441,p1_정자세
887,852,421,376,13,16,p2_앞으로숙이기
291,885,257,814,365,503,p3_오른다리꼬기
872,408,892,235,406,552,p4_왼다리꼬기
587,748,462,668,212,621,p5_오른쪽기대기
648,433,701,393,647,167,p6_왼쪽기대기
2,7,5,4,2,2,p0_앉지않음
772,677,628,584,482,538,p1_정자세
901,888,310,454,5,19,p2_앞으로숙이기
331,928,233,896,391,423,p3_오른다리꼬기
860,262,853,390,556,453,p4_왼다리꼬기
555,761,474,682,205,671,p5_오른쪽기대기
721,496,697,491,607,198,p6_왼쪽기대기
10,8,9,5,2,3,p0_앉지않음
778,602,584,715,488,473,p1_정자세
799,827,329,504,14,14,p2_앞으로숙이기
379,938,347,892,424,438,p3_오른다리꼬기
930,323,849,319,481,378,p4_왼다리꼬기
535,738,485,738,248,704,p5_오른쪽기대기
817,572,714,451,684,221,p6_왼쪽기대기
4,6,4,2,3,2,p0_앉지않음
802,618,622,651,545,515,p1_정자세
862,804,342,416,8,12,p2_앞으로숙이기
375,860,380,898,387,412,p3_오른다리꼬기
808,310,880,279,468,389,p4_왼다리꼬기
539,722,450,695,161,603,p5_오른쪽기대기
798,519,752,466,655,148,p6_왼쪽기대기
4,4,10,7,3,2,p0_앉지않음
664,705,661,603,484,491,p1_정자세
914,766,460,353,8,20,p2_앞으로숙이기
386,950,340,932,472,443,p3_오른다리꼬기
913,412,818,267,437,365,p4_왼다리꼬기
506,655,452,743,185,717,p5_오른쪽기대기
676,559,733,364,758,198,p6_왼쪽기대기
2,0,4,4,2,1,p0_앉지않음
731,680,553,642,405,514,p1_정자세
810,856,465,352,20,12,p2_앞으로숙이기
437,885,257,877,432,416,p3_오른다리꼬기
880,347,903,203,450,474,p4_왼다리꼬기
509,815,446,690,217,653,p5_오른쪽기대기
730,525,667,419,628,240,p6_왼쪽기대기
0,6,5,0,2,2,p0_앉지않음
729,567,718,613,527,529,p1_정자세
814,876,380,296,20,11,p2_앞으로숙이기
307,883,313,847,471,396,p3_오른다리꼬기
870,344,925,294,493,451,p4_왼다리꼬기
475,737,441,730,241,664,p5_오른쪽기대기
809,451,679,413,662,189,p6_왼쪽기대기
7,2,5,7,0,4,p0_앉지않음
685,598,657,651,496,539,p1_정자세
879,861,422,394,23,7,p2_앞으로숙이기
356,902,340,816,380,456,p3_오른다리꼬기
911,424,799,357,544,434,p4_왼다리꼬기
435,729,450,728,182,712,p5_오른쪽기대기
694,413,755,336,641,293,p6_왼쪽기대기
4,1,4,4,2,2,p0_앉지않음
648,784,662,686,474,551,p1_정자세
839,861,353,350,18,12,p2_앞으로숙이기
307,874,334,824,445,450,p3_오른다리꼬기
823,276,863,263,492,488,p4_왼다리꼬기
535,840,445,732,182,748,p5_오른쪽기대기
849,500,719,517,644,180,p6_왼쪽기대기
7,5,5,2,0,2,p0_앉지않음
745,688,721,614,457,497,p1_정자세
846,880,361,468,24,14,p2_앞으로숙이기
412,857,353,891,484,449,p3_오른다리꼬기
781,317,824,251,454,433,p4_왼다리꼬기
458,697,414,756,180,629,p5_오른쪽기대기
727,516,722,297,690,243,p6_왼쪽기대기
1,2,3,2,2,0,p0_앉지않음
644,776,603,712,514,427,p1_정자세
